
2024/10/21 (02:37:23) | ===> btop++ v.1.4.0
2024/10/21 (02:37:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:41:12) | ===> btop++ v.1.4.0
2024/10/21 (02:41:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:41:33) | ===> btop++ v.1.4.0
2024/10/21 (02:41:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:43:56) | ===> btop++ v.1.4.0
2024/10/21 (02:43:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:44:06) | ===> btop++ v.1.4.0
2024/10/21 (02:44:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:54:10) | ===> btop++ v.1.4.0
2024/10/21 (02:54:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:54:32) | ===> btop++ v.1.4.0
2024/10/21 (02:54:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:59:10) | ===> btop++ v.1.4.0
2024/10/21 (02:59:10) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/21 (02:59:26) | INFO: Logger set to INFO
2024/10/21 (02:59:29) | INFO: Logger set to INFO

2024/10/21 (03:03:29) | ===> btop++ v.1.4.0
2024/10/21 (03:03:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:03:54) | ===> btop++ v.1.4.0
2024/10/21 (03:03:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:06:03) | ===> btop++ v.1.4.0
2024/10/21 (03:06:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:08:51) | ===> btop++ v.1.4.0
2024/10/21 (03:08:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:23:34) | ===> btop++ v.1.4.0
2024/10/21 (03:23:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:29:22) | ===> btop++ v.1.4.0
2024/10/21 (03:29:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (04:05:29) | ===> btop++ v.1.4.0
2024/10/21 (04:05:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (04:53:48) | ===> btop++ v.1.4.0
2024/10/21 (04:53:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (05:09:59) | ===> btop++ v.1.4.0
2024/10/21 (05:09:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (06:22:39) | ===> btop++ v.1.4.0
2024/10/21 (06:22:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (06:51:16) | ===> btop++ v.1.4.0
2024/10/21 (06:51:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (15:07:47) | ===> btop++ v.1.4.0
2024/10/21 (15:07:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (17:44:30) | ===> btop++ v.1.4.0
2024/10/21 (17:44:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (17:51:06) | ===> btop++ v.1.4.0
2024/10/21 (17:51:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (18:24:15) | ===> btop++ v.1.4.0
2024/10/21 (18:24:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (02:13:56) | ===> btop++ v.1.4.0
2024/10/22 (02:13:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (03:56:42) | ===> btop++ v.1.4.0
2024/10/22 (03:56:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (03:57:34) | ===> btop++ v.1.4.0
2024/10/22 (03:57:34) | WARNING: Intel GPU: Failed to initialize PMU
